K0,m,lr,batch,init,seed,epochs,mean_expansions,expansion_reduction_pct,forced_first_m_pct,dij_mean,train_s
64,8,0.003,128,block_sparse,42,200,556.52,89.55872420262664,89.94971857410881,5330.0,59.19573146093171
64,8,0.003,128,block_sparse,43,200,541.32,89.84390243902439,89.94971857410881,5330.0,58.74533244501799
64,8,0.003,128,block_sparse,44,200,545.3,89.76923076923077,89.94971857410881,5330.0,60.02426150091924
64,8,0.003,128,identity_first_m,42,200,535.68,89.94971857410881,89.94971857410881,5330.0,59.1511156699853
64,8,0.003,128,identity_first_m,43,200,535.68,89.94971857410881,89.94971857410881,5330.0,59.54904338705819
64,8,0.003,128,identity_first_m,44,200,535.68,89.94971857410881,89.94971857410881,5330.0,60.43831425101962
64,8,0.003,256,block_sparse,42,200,535.26,89.9575984990619,89.94971857410881,5330.0,61.8964689350687
64,8,0.003,256,block_sparse,43,200,529.78,90.06041275797374,89.94971857410881,5330.0,69.81541763700079
64,8,0.003,256,block_sparse,44,200,536.55,89.93339587242026,89.94971857410881,5330.0,65.46138556103688
64,8,0.003,256,identity_first_m,42,200,535.68,89.94971857410881,89.94971857410881,5330.0,63.890040157944895
64,8,0.003,256,identity_first_m,43,200,535.68,89.94971857410881,89.94971857410881,5330.0,65.32309814100154
64,8,0.003,256,identity_first_m,44,200,535.68,89.94971857410881,89.94971857410881,5330.0,66.40500914398581
64,8,0.003,512,block_sparse,42,200,541.56,89.83939962476548,89.94971857410881,5330.0,63.211188880959526
64,8,0.003,512,block_sparse,43,200,627.26,88.23151969981238,89.94971857410881,5330.0,62.74601739796344
64,8,0.003,512,block_sparse,44,200,589.23,88.94502814258912,89.94971857410881,5330.0,60.65885063202586
64,8,0.003,512,identity_first_m,42,200,535.68,89.94971857410881,89.94971857410881,5330.0,62.174208004027605
64,8,0.003,512,identity_first_m,43,200,535.68,89.94971857410881,89.94971857410881,5330.0,59.82900132902432
64,8,0.003,512,identity_first_m,44,200,535.68,89.94971857410881,89.94971857410881,5330.0,59.296417896053754
