graph,fastmap_dims,query_idx,source,target,fastmap_cost,dijkstra_cost,cost_diff,cost_ratio,is_violation,fastmap_expansions,dijkstra_expansions
NY,16,54,248550,122096,811194.0,626434.0,184760.0,1.2949392912900641,True,2381,220000
NY,16,55,107059,185340,921698.0,793802.0,127896.0,1.1611182637483906,True,10729,248624
NY,16,56,110687,211428,558024.0,491343.0,66681.0,1.1357117125918146,True,1802,174123
NY,16,57,105878,202982,707813.0,663532.0,44281.0,1.0667352893304316,True,1775,151597
NY,16,58,198286,249002,242476.0,215578.0,26898.0,1.124771544406201,True,1599,56689
NY,16,59,250396,164899,469023.0,397173.0,71850.0,1.1809035357388342,True,513,124002
NY,16,60,43585,64044,482877.0,375992.0,106885.0,1.2842746654184132,True,983,106572
NY,16,61,109556,2693,910370.0,705970.0,204400.0,1.2895307166026886,True,3799,235211
NY,16,62,243307,200235,421036.0,403133.0,17903.0,1.0444096613276512,True,1536,72289
NY,16,63,25939,152906,587325.0,521280.0,66045.0,1.126697744014733,True,2003,212684
NY,16,64,18047,75766,799888.0,671560.0,128328.0,1.191089403776282,True,3928,246198
NY,16,65,44262,161152,939613.0,737182.0,202431.0,1.2746011161422823,True,17351,246527
NY,16,66,128376,137848,590983.0,511134.0,79849.0,1.1562193084396655,True,4235,153064
NY,16,67,92787,127948,287672.0,248456.0,39216.0,1.1578388125060373,True,197,42808
NY,16,68,55016,21959,251531.0,231566.0,19965.0,1.0862173203320005,True,380,71325
NY,16,69,136602,225928,610252.0,536814.0,73438.0,1.1368034365720716,True,12765,211094
NY,16,70,228576,13545,306296.0,266008.0,40288.0,1.1514540916062674,True,567,38208
NY,16,71,165838,61087,994579.0,750781.0,243798.0,1.3247258521459653,True,8152,226464
NY,16,72,68840,118451,279193.0,203532.0,75661.0,1.3717400703574867,True,519,36809
NY,16,73,39353,193075,639591.0,519865.0,119726.0,1.2303020976599695,True,5297,184494
NY,16,74,214283,65318,885126.0,718328.0,166798.0,1.232203116125224,True,3971,227242
NY,16,75,241025,67172,1158852.0,988366.0,170486.0,1.1724927810143206,True,18482,230072
NY,16,76,216688,256951,777208.0,602037.0,175171.0,1.290963844414878,True,11416,220292
NY,16,77,93264,246458,755178.0,597697.0,157481.0,1.2634796560799202,True,5065,168874
NY,16,78,225281,112859,399490.0,319920.0,79570.0,1.2487184296074019,True,1836,44441
NY,16,79,257426,177789,623732.0,496228.0,127504.0,1.256946403669281,True,5730,149150
NY,16,80,218164,125657,349851.0,261602.0,88249.0,1.337340693113967,True,625,48555
NY,16,81,235167,157381,946507.0,832298.0,114209.0,1.1372212837228974,True,3689,232400
NY,16,82,194806,70467,630874.0,390877.0,239997.0,1.613996218759354,True,7580,161290
NY,16,83,183734,98506,880449.0,735227.0,145222.0,1.1975199496210014,True,10730,212661
NY,16,84,109751,168229,688900.0,608567.0,80333.0,1.1320035427487853,True,2067,211939
NY,16,85,106081,89045,1011536.0,866216.0,145320.0,1.1677641604403521,True,4218,247695
NY,16,86,34698,110078,283834.0,223861.0,59973.0,1.2679028504295076,True,677,36071
NY,16,87,22671,86202,906797.0,764474.0,142323.0,1.1861711451272379,True,10320,257715
NY,16,88,51663,15708,307239.0,199034.0,108205.0,1.5436508335259302,True,1276,47834
NY,16,89,133883,112547,452367.0,343251.0,109116.0,1.3178898240646058,True,3816,111209
NY,16,90,34754,226814,319157.0,243971.0,75186.0,1.3081759717343455,True,585,49224
NY,16,91,237714,142483,637731.0,576185.0,61546.0,1.106816387097894,True,4175,117197
NY,16,92,133983,214835,210100.0,179489.0,30611.0,1.170545270183688,True,2172,28840
NY,16,93,84896,71295,286948.0,233806.0,53142.0,1.2272910019417809,True,801,23442
NY,16,94,219686,132874,465601.0,428876.0,36725.0,1.0856308117031497,True,2489,135851
NY,16,95,8155,47254,558779.0,420330.0,138449.0,1.3293816763019533,True,4806,112263
NY,16,96,85981,30306,1067093.0,908983.0,158110.0,1.1739416468734838,True,2297,190789
NY,16,97,147718,120975,351231.0,288364.0,62867.0,1.2180126506776159,True,815,61038
NY,16,98,107512,147443,544583.0,484252.0,60331.0,1.124585959376523,True,1108,154670
NY,16,99,133121,162688,322457.0,274514.0,47943.0,1.1746468303984496,True,901,76380
NY,32,0,121958,146867,656905.0,543151.0,113754.0,1.2094334724597764,True,2785,144772
NY,32,1,131932,259178,1004592.0,893194.0,111398.0,1.1247187061265527,True,28900,259938
NY,32,2,119879,110268,501201.0,374163.0,127038.0,1.3395258216338868,True,1656,76138
NY,32,3,207892,54886,357414.0,254214.0,103200.0,1.405957185678208,True,1467,68062
NY,32,4,137337,87498,925341.0,793785.0,131556.0,1.1657325346283944,True,8181,247332
NY,32,5,175203,191335,1413951.0,1174219.0,239732.0,1.2041629372374318,True,45279,263960
NY,32,6,41090,64820,513671.0,414851.0,98820.0,1.2382060064938978,True,1221,160171
NY,32,7,262913,194027,1051511.0,895604.0,155907.0,1.1740802854833163,True,2289,187230
NY,32,8,252709,199041,269805.0,253960.0,15845.0,1.062391715230745,True,1492,35584
NY,32,9,103355,235796,793335.0,636516.0,156819.0,1.2463708689176705,True,4115,224515
NY,32,10,214176,184779,49063.0,44190.0,4873.0,1.1102738176057931,True,53,3410
NY,32,11,258795,156730,942113.0,849262.0,92851.0,1.1093313959649673,True,1781,183469
NY,32,12,149503,130523,468315.0,318884.0,149431.0,1.4686061389094467,True,5882,68724
NY,32,13,2747,123855,1084604.0,881317.0,203287.0,1.2306627467755642,True,5831,212100
NY,32,14,65725,129981,565185.0,471140.0,94045.0,1.1996115804219551,True,1048,55076
NY,32,15,84654,67435,541140.0,489151.0,51989.0,1.1062841535640324,True,686,28229
NY,32,16,31551,3890,887667.0,676902.0,210765.0,1.311367081202301,True,2145,216468
NY,32,17,41606,256840,675585.0,539876.0,135709.0,1.2513706851202868,True,6250,213225
NY,32,18,141699,239931,499602.0,463449.0,36153.0,1.0780085834687312,True,6772,187839
NY,32,19,239629,205041,783342.0,712423.0,70919.0,1.099546196571419,True,4038,196364
NY,32,20,174073,207624,289279.0,247165.0,42114.0,1.1703882022130965,True,382,47915
NY,32,21,68148,252801,784297.0,688818.0,95479.0,1.1386128120925991,True,13326,200022
NY,32,22,124243,251995,742948.0,657682.0,85266.0,1.1296462424089453,True,10046,189515
NY,32,23,154555,48555,623851.0,519504.0,104347.0,1.2008588961778928,True,3139,107522
NY,32,24,256508,106530,813999.0,649853.0,164146.0,1.2525894317637989,True,5018,197003
NY,32,25,80077,200551,888792.0,792671.0,96121.0,1.1212621629906985,True,6887,155488
NY,32,26,208261,240181,559668.0,477010.0,82658.0,1.1732835789606089,True,9717,156741
NY,32,27,171829,202283,345478.0,290640.0,54838.0,1.188680154142582,True,731,47208
NY,32,28,196769,37065,419568.0,318721.0,100847.0,1.3164115323433347,True,8145,110966
NY,32,29,223165,99299,510761.0,396165.0,114596.0,1.2892633120038368,True,1185,122548
NY,32,30,11534,40397,341882.0,280609.0,61273.0,1.218357215912533,True,733,70008
NY,32,31,257750,263160,288654.0,236994.0,51660.0,1.2179802020304311,True,332,8252
NY,32,32,55591,220884,337886.0,259125.0,78761.0,1.3039498311625664,True,688,88238
NY,32,33,23247,24300,116064.0,105505.0,10559.0,1.1000805649021372,True,105,12886
NY,32,34,82798,9268,1003352.0,947456.0,55896.0,1.0589958794920291,True,2236,193594
NY,32,35,194776,217851,257719.0,229408.0,28311.0,1.1234089482494072,True,3691,63599
NY,32,36,236584,38044,951119.0,819825.0,131294.0,1.160148812246516,True,4406,160578
NY,32,37,48984,120151,273169.0,224962.0,48207.0,1.2142895244530187,True,398,56270
NY,32,38,133767,124375,813918.0,620781.0,193137.0,1.3111193802645378,True,4519,222379
NY,32,39,179262,136330,258979.0,231023.0,27956.0,1.121009596447107,True,532,51056
NY,32,40,164231,13986,469920.0,366434.0,103486.0,1.2824137498157921,True,4871,91870
NY,32,41,61858,129312,318345.0,238105.0,80240.0,1.3369941832384873,True,535,26573
NY,32,42,12666,134633,234957.0,212507.0,22450.0,1.1056435787997572,True,293,36059
NY,32,43,104488,183323,630804.0,515094.0,115710.0,1.2246386096518305,True,13666,195708
NY,32,44,30535,77373,972833.0,772226.0,200607.0,1.2597775780665246,True,3098,245192
NY,32,45,123684,24538,476308.0,376544.0,99764.0,1.264946460440214,True,2062,97918
NY,32,46,201664,139182,129411.0,123984.0,5427.0,1.0437717770034842,True,366,17450
NY,32,47,158338,184064,170425.0,130865.0,39560.0,1.302296259504069,True,182,15330
NY,32,48,214020,98806,823478.0,666614.0,156864.0,1.2353145898525983,True,14569,212577
NY,32,49,90982,121626,446883.0,417516.0,29367.0,1.0703374241945218,True,658,36494
NY,32,50,119176,218126,1061043.0,899413.0,161630.0,1.1797060971989508,True,3032,161116
NY,32,51,218969,122409,366923.0,284834.0,82089.0,1.288199442482288,True,526,63227
NY,32,52,23419,253618,305094.0,243168.0,61926.0,1.2546634425582313,True,1156,66110
NY,32,53,245310,50015,707482.0,562801.0,144681.0,1.2570731039923526,True,3047,160417
NY,32,54,248550,122096,811194.0,626434.0,184760.0,1.2949392912900641,True,2381,220000
NY,32,55,107059,185340,921698.0,793802.0,127896.0,1.1611182637483906,True,10729,248624
NY,32,56,110687,211428,558024.0,491343.0,66681.0,1.1357117125918146,True,1802,174123
NY,32,57,105878,202982,707813.0,663532.0,44281.0,1.0667352893304316,True,1775,151597
NY,32,58,198286,249002,242476.0,215578.0,26898.0,1.124771544406201,True,1599,56689
