graph,query_idx,source,target,hit_expansions,alt_expansions,hit_p50_ms,alt_p50_ms
BAY,47,301648,164231,10325,13685,83.38130102492869,139.7513459669426
BAY,48,13986,61858,11648,4204,88.07965798769146,78.07174208573997
BAY,49,129312,12666,23953,20017,146.15396107546985,201.92256395239383
BAY,50,300804,134633,9934,10713,79.66537901666015,119.35014696791768
BAY,51,288998,104488,3384,6369,56.9472499191761,89.27471400238574
BAY,52,183323,284806,28884,39399,163.520050002262,319.70121001359075
BAY,53,270536,30535,10198,7443,81.87680598348379,99.13737000897527
BAY,54,314400,297366,2821,2231,55.417024064809084,63.548596925102174
BAY,55,77373,123684,3245,1806,57.661576080136,60.074446024373174
BAY,56,273109,24538,8513,8029,75.78258996363729,102.1421579644084
BAY,57,201664,139182,144675,6590,559.691437985748,102.27420297451317
BAY,58,158338,184064,297,293,46.719999983906746,47.86977800540626
BAY,59,214020,98806,139863,64732,561.3401149166748,533.4225449478254
BAY,60,90982,121626,68253,21717,307.3462879983708,198.15864297561347
BAY,61,119176,218126,57995,60965,265.0812159990892,490.79204094596207
BAY,62,218969,122409,149503,19427,568.869621027261,181.5713329706341
BAY,63,23419,253618,15267,12883,97.75437298230827,134.67872003093362
BAY,64,245310,50015,15582,12172,109.29363104514778,158.83993403986096
BAY,65,248550,122096,166593,62260,647.5698999129236,515.1323359459639
BAY,66,107059,185340,57101,23661,264.2850229749456,240.80659891478717
BAY,67,110687,211428,21005,23112,156.6378310089931,219.84044392593205
BAY,68,105878,202982,46984,52423,231.1614080099389,452.1296250168234
BAY,69,198286,249002,21562,21561,142.61970203369856,219.68350699171424
BAY,70,250396,164899,8099,6917,78.38400499895215,101.92281100898981
BAY,71,43585,64044,231,230,47.43974900338799,48.03725297097117
BAY,72,109556,2693,9831,6218,103.06525102350861,99.44340493530035
BAY,73,243307,200235,5437,4405,65.66349603235722,77.38289295230061
BAY,74,25939,152906,15600,3219,101.76582995336503,71.07271999120712
BAY,75,18047,288249,23191,23009,136.4375309785828,215.8357510343194
BAY,76,75766,44262,1803,1803,51.83941009454429,60.21294498350471
BAY,77,285920,161152,12440,16147,88.48270704038441,156.18006500881165
BAY,78,128376,137848,514,503,47.31568100396544,49.537318060174584
BAY,79,92787,127948,78720,26534,349.64760101865977,234.12077000830323
BAY,80,55016,21959,2609,2607,54.52731705736369,63.000619993545115
BAY,81,136602,225928,16701,16565,107.88643301930279,163.23488706257194
BAY,82,265892,228576,1769,1764,52.689541946165264,59.12474496290088
BAY,83,13545,165838,8463,9847,78.7551540415734,122.70834401715547
BAY,84,61087,68840,2844,1663,54.70653297379613,57.30292003136128
BAY,85,118451,313149,2204,2627,53.984888014383614,66.1648300010711
BAY,86,39353,193075,2873,3006,57.90136905852705,70.14777790755033
BAY,87,214283,314877,137827,28860,570.7952179946005,260.9645030461252
BAY,88,65318,241025,31949,22826,192.54879793152213,221.41644801013172
BAY,89,67172,216688,14813,14374,96.03808901738375,143.04994198027998
BAY,90,256951,93264,55869,52860,292.983046034351,467.66856603790075
BAY,91,246458,288880,9414,9916,87.34414097853005,131.95713004097342
BAY,92,225281,112859,184763,65615,710.9985660063103,519.9671689188108
BAY,93,269536,317824,10139,2554,80.55182895623147,65.7461010850966
BAY,94,257426,177789,46810,13991,211.28466702066362,147.6725209504366
BAY,95,218164,313003,177398,147828,703.5932490834966,1121.7227799352258
BAY,96,125657,235167,17468,22604,124.31501597166061,206.3383610220626
BAY,97,157381,194806,45292,52700,218.96320197265595,432.4975369963795
BAY,98,70467,183734,11071,4850,85.23657103069127,83.18019995931536
BAY,99,98506,109751,26889,31926,159.478823072277,277.3643950931728
COL,0,121958,146867,3425,3372,69.82552097178996,83.4150769514963
COL,1,131932,365838,15556,8387,111.22851597610861,119.47907402645797
COL,2,259178,119879,28103,36086,206.7896599182859,342.11670502554625
COL,3,110268,207892,10136,21179,97.46064594946802,248.629298992455
COL,4,54886,137337,51911,85877,267.21429894678295,668.3348449878395
COL,5,430410,87498,68616,98373,328.68146407417953,788.1127129076049
COL,6,374871,388468,31806,12895,160.08828696794808,145.7948200404644
COL,7,175203,191335,3126,2346,68.24443396180868,77.43925007525831
COL,8,278167,41090,11976,11565,99.68328790273517,144.4702809676528
COL,9,329365,64820,9332,23254,89.85835500061512,221.27504600211978
COL,10,262913,321879,30824,63844,160.7555679511279,483.21116098668426
COL,11,194027,327069,185858,52171,722.5901189958677,477.34386404044926
COL,12,252709,199041,78300,177899,388.0358469905332,1307.0730079198256
COL,13,267455,103355,2338,1848,69.10604296717793,79.24325589556247
COL,14,235796,214176,22272,10570,172.94091708026826,166.97784897405654
COL,15,184779,347449,4538,4326,74.64179897215217,91.92774596158415
COL,16,421909,258795,2040,1999,67.88255495484918,76.50019600987434
COL,17,392752,156730,10309,23853,98.00961904693395,245.985715999268
COL,18,346622,384681,7947,5501,84.97568604070693,97.44031599257141
COL,19,149503,130523,11923,30373,99.2295490577817,266.29362790845335
COL,20,2747,123855,10872,27068,100.5732798948884,260.1575159933418
COL,21,65725,129981,12462,2447,105.84191896487027,82.26721710525453
COL,22,84654,428989,189932,46696,788.4937829803675,434.81238395906985
COL,23,381490,67435,9530,6586,100.00838991254568,105.45208491384983
COL,24,319030,328947,226163,87678,959.6426209900528,670.3918309649453
COL,25,31551,378360,54380,87369,253.00118699669838,679.3080409988761
COL,26,273538,331236,18690,18852,126.87581998761743,194.10038401838392
COL,27,3890,41606,35044,74418,181.37994792778045,576.9217680208385
COL,28,256840,349457,19494,23887,129.70267294440418,227.06598800141364
COL,29,141699,270936,113000,29860,471.6568459989503,283.3088970510289
COL,30,239931,239629,6544,5371,82.84018794074655,98.48803200293332
COL,31,205041,174073,7677,12727,84.89883900620043,144.9522660113871
COL,32,207624,417113,59761,22387,280.7047769892961,243.9992360305041
COL,33,68148,252801,55461,10998,239.1570620238781,133.94067401532084
COL,34,124243,251995,113953,56856,491.1026939516887,516.7283120099455
COL,35,382318,154555,18971,11389,123.73233202379197,142.49176997691393
COL,36,386502,48555,36516,18295,231.18022899143398,214.62140104267746
COL,37,256508,279303,112443,176005,517.7149180090055,1322.4751439411193
COL,38,372654,106530,41402,35257,210.635447059758,335.74386697728187
COL,39,80077,298064,31593,23839,170.66511302255094,225.78810609411448
COL,40,200551,281601,58003,22488,267.36335596069694,217.37778396345675
COL,41,208261,240181,21988,22312,136.654527974315,205.99242905154824
COL,42,341097,315139,11914,5516,102.94506896752864,101.25610802788287
COL,43,171829,271836,142902,57671,595.5114780226722,523.4413020079955
COL,44,202283,196769,24002,40815,137.6655539497733,320.71769004687667
COL,45,37065,223165,5575,4835,82.25782599765807,99.13773601874709
COL,46,99299,425822,111604,6017,456.5084089990705,107.82543709501624
COL,47,11534,40397,105417,130366,489.64485595934093,1019.9109890963882
COL,48,257750,353531,39695,62440,196.00895803887397,479.91207300219685
COL,49,263160,55591,9504,9714,96.31897101644427,133.33056797273457
COL,50,220884,23247,1212,1573,66.6166259907186,75.82335895858705
COL,51,24300,82798,48357,38872,230.8534539770335,333.7180980015546
COL,52,9268,348951,17221,24327,146.3743920903653,257.6003789436072
COL,53,274329,194776,4812,10826,79.34251800179482,135.08487294893712
COL,54,217851,432315,130163,18453,547.4659410538152,215.38591105490923
COL,55,401787,236584,70746,88068,369.34709502384067,732.6675989897922
COL,56,38044,313358,27370,15721,158.18313194904476,173.32686902955174
COL,57,376896,48984,49809,34171,257.51006801147014,317.9662269540131
COL,58,302918,264712,120708,38231,478.78531995229423,309.80434897355735
COL,59,120151,133767,3059,3059,72.05647695809603,81.35443297214806
COL,60,124375,179262,30913,32629,167.0897159492597,278.3708730712533
COL,61,136330,301648,92175,126832,411.8868140503764,922.0620150445029
COL,62,164231,13986,64720,24985,296.444849926047,263.23304895777255
COL,63,61858,129312,2087,634,70.26499893981963,67.95208400581032
COL,64,12666,300804,20425,88361,133.97242699284106,700.6229220423847
COL,65,134633,288998,75295,4845,324.88182897213846,95.38465098012239
COL,66,326649,104488,4528,3029,81.27721096388996,88.82099890615791
COL,67,183323,284806,152569,30311,673.0882429983467,269.78337299078703
COL,68,270536,30535,21068,39295,139.65501193888485,352.17623494099826
COL,69,375713,314400,14618,8775,111.20657797437161,122.45472299400717
COL,70,351279,389622,100920,100551,478.0129750724882,812.6451830612496
COL,71,297366,77373,50028,5464,225.58310790918767,104.93229597341269
COL,72,123684,273109,95952,20578,409.7849050303921,259.56251297611743
COL,73,24538,370210,2621,46977,72.47419992927462,390.3736840002239
COL,74,201664,375396,8447,9801,89.3907459685579,125.81826304085553
COL,75,139182,158338,122,116,60.98055001348257,63.84823692496866
COL,76,184064,214020,3722,2866,75.07560693193227,83.4928760305047
COL,77,98806,400126,4160,27170,76.81296300143003,257.4174040928483
COL,78,373133,90982,1869,3266,68.15863191150129,87.10700902156532
COL,79,121626,119176,125,127,61.736637027934194,63.79024393390864
COL,80,393422,218126,5413,4688,82.87187200039625,99.09285802859813
COL,81,218969,122409,11022,14053,103.29218895640224,193.5594630194828
COL,82,23419,253618,75010,20823,350.6794630084187,238.06907690595835
COL,83,245310,50015,15143,15771,115.4836630448699,167.6126279635355
COL,84,248550,122096,15375,18083,116.21467000804842,186.95455603301525
COL,85,107059,185340,10720,7411,99.86612200737,118.55949799064547
COL,86,110687,350083,128093,11777,520.5442699370906,145.49846400041133
COL,87,411357,211428,11431,10734,104.74434599746019,142.84881704952568
COL,88,105878,202982,14998,1710,115.51244999282062,76.93149195984006
COL,89,198286,249002,9004,7337,92.58384292479604,114.22239406965673
COL,90,250396,164899,82220,91979,413.12429297249764,745.3487439779565
COL,91,324767,337594,2419,1714,69.28193802013993,73.66163900587708
COL,92,355570,379989,2215,2096,70.18127804622054,81.40363602433354
COL,93,415515,43585,67029,110510,293.84320008102804,855.2298919530585
COL,94,371369,64044,107438,80507,474.6904569910839,680.5311259813607
COL,95,109556,2693,18153,3868,130.90132805518806,93.44692493323237
COL,96,357403,243307,8768,10753,92.62621297966689,140.49128000624478
COL,97,200235,25939,44517,32297,221.1292339488864,310.95032510347664
COL,98,152906,18047,8900,3917,91.59777499735355,91.37738100253046
COL,99,288249,75766,17054,14872,125.2593380631879,174.83043496031314
FLA,0,121958,671155,10813,11381,172.8092940757051,233.11365593690425
FLA,1,131932,259178,213756,142808,1053.508762968704,1318.0331849725917
FLA,2,110268,732180,26250,13900,223.9979759324342,247.91175301652402
FLA,3,137337,999890,265480,83259,1152.0961010828614,801.8675890052691
FLA,4,912756,175203,61851,89490,383.3736589876935,816.9022239744663
FLA,5,278167,41090,18174,23414,191.06463599018753,307.18507792335004
FLA,6,329365,787201,42878,63912,371.96908495388925,712.7335739787668
FLA,7,327069,791743,35991,63773,348.7276650266722,707.2932079900056
FLA,8,103355,184779,58550,84242,343.6538720270619,746.4781330199912
FLA,9,989436,486232,32215,1589,242.04924795776606,164.47414900176227
FLA,10,917040,156730,7824,7812,161.6877110209316,214.77548906113952
