graph,method,K0,m,num_landmarks_or_dims,bytes_per_vertex,mean_expansions,expansion_reduction_pct,preprocess_sec,mean_query_latency_ms,peak_memory_mb,admissibility_violations,num_nodes,num_edges,seed
berlin,AAC,16,8,8,32,2003.61,85.7471606146702,25.35686899803113,19.41668982850388,1060.5703125,0,28397,72857,42
berlin,AAC,32,8,8,32,2116.49,84.94417974024053,28.871667588013224,20.49820759741124,1060.5703125,0,28397,72857,42
berlin,AAC,32,16,16,64,1190.49,91.53135452516145,34.646218965004664,12.909503558184952,1060.5703125,0,28397,72857,42
berlin,AAC,64,16,16,64,1441.3,89.74719760528454,47.93151202000445,14.956822282401845,1060.5703125,0,28397,72857,42
berlin,AAC,64,32,32,128,849.82,93.95473771520358,80.29133531503612,21.35110302187968,1060.5703125,0,28397,72857,42
berlin,ALT,0,0,4,32,1903.12,86.46200423684806,0.7535565689904615,26.900516360183246,1060.5703125,0,28397,72857,123
berlin,ALT,0,0,8,64,1016.97,92.76570287146755,0.8409815730410628,18.56267915165517,1060.5703125,0,28397,72857,123
berlin,ALT,0,0,16,128,683.02,95.1412828060511,0.8131150029948913,21.005810751230456,1060.5703125,0,28397,72857,123
berlin,ALT,0,0,32,256,520.8,96.29524770195808,1.053972020978108,14.634881000383755,1060.5703125,0,28397,72857,123
berlin,AAC,16,8,8,32,2534.49,81.97070343344038,68.81150999199599,45.27861951093655,1060.5703125,0,28397,72857,123
berlin,AAC,32,8,8,32,2345.81,83.31289364771561,76.63742457801709,40.31569603190292,1060.5703125,0,28397,72857,123
berlin,AAC,32,16,16,64,1335.94,90.49668436051051,73.89799883699743,26.02856668643653,1060.5703125,0,28397,72857,123
berlin,AAC,64,16,16,64,1250.12,91.10717176876312,80.79754354502074,12.999009433551691,1060.5703125,0,28397,72857,123
berlin,AAC,64,32,32,128,754.31,94.63415571056836,80.12397207302274,18.123820219771005,1060.5703125,0,28397,72857,123
berlin,ALT,0,0,4,32,1903.12,86.46200423684806,0.7595691950409673,33.18078951037023,1060.5703125,0,28397,72857,456
berlin,ALT,0,0,8,64,1016.97,92.76570287146755,1.0162083439645355,23.61907313170377,1060.5703125,0,28397,72857,456
berlin,ALT,0,0,16,128,683.02,95.1412828060511,0.8615100519964471,17.062612718436867,1060.5703125,0,28397,72857,456
berlin,ALT,0,0,32,256,520.8,96.29524770195808,1.0112705620122142,13.348235588055104,1060.5703125,0,28397,72857,456
berlin,AAC,16,8,8,32,3851.66,72.60090968456964,70.21277835499495,34.9286331696203,1060.5703125,0,28397,72857,456
berlin,AAC,32,8,8,32,2206.11,84.30666072919882,65.1174320410355,42.29534612968564,1060.5703125,0,28397,72857,456
berlin,AAC,32,16,16,64,1171.59,91.66580118113878,76.10892966698157,28.665467230021022,1060.5703125,0,28397,72857,456
berlin,AAC,64,16,16,64,1415.56,89.93030114628223,86.19680572196376,26.96485066029709,1060.5703125,0,28397,72857,456
berlin,AAC,64,32,32,128,807.22,94.25777620962864,90.41027835197748,11.031829007552004,1060.5703125,0,28397,72857,456
berlin,ALT,0,0,4,32,1903.12,86.46200423684806,0.3089429480023682,18.159825441543944,1060.5703125,0,28397,72857,789
berlin,ALT,0,0,8,64,1016.97,92.76570287146755,0.5855307320016436,10.924236994469538,1060.5703125,0,28397,72857,789
berlin,ALT,0,0,16,128,683.02,95.1412828060511,0.9556273210328072,15.595956352190116,1060.5703125,0,28397,72857,789
berlin,ALT,0,0,32,256,520.8,96.29524770195808,0.9724881289876066,12.631642471533269,1060.5703125,0,28397,72857,789
